body,label
"Even I was thinking to put in $AAPL, $MSFT.. anything else on your mind for pontetial plays other than this?",0
"$AAPL, change of guard????#Cook to go...?",-1
"""Bottom line: Social Capital appears to be done, at least as a major venture capital investor.""$TSLA $TSLAQ",-1
"I agree, and more power to Tesla for putting on the pressure & pumping $TSLA stock 'til the big guys noticed. But for an actual transformation of the global automotive industry, the e-tron & i-pace & ECG have to SUCCEED & they won't b/c EV fans love Musk more than the planet.",1
$FIT agreed!  Has anyone seen the $AAPL watch?! Is the competition that stuff?! ,1
#estate asset watch - price volume leaders - $NVDA $AAPL $AMZN $FB $SYMC $BABA $MU $XOM $WTW $MSFT $BIDU $BAC $NFLX $TSLA $TTD $CSCO $JPM $ADBE $VZ $REGN $TWTR $VIRT $AMD $BRK $GILD $GOOGL $PG $JNJ $CRM $SQ $WMT $BIIB $ABBV $ABT $MA $EA $MGM $DWDP $PFE $ROKU $BA $PYPL $HD $DLTR,0
400 miles and will be available a lit bit after 2021? here’s my prediction: 202x! $tsla,0
Someone in this capital structure is wrong.  $TSLA,-1
"$TSLA Using the over extension to roll previous trade and increase size. Selling put, Strike 160, June 14 for 3.55. 33% annualized return and 80+% prob of being profitable",0
$TNDM still want higher out of the gate to add puts$ASND if this holds over VWAP past. probably good range here$TSLA Hopefully squeeze a little in the morning then lower$W watch for topping action to add puts,0
$AAPL - 300% MOVE HIT - BIG BIG WIN - WISH I HELD EVERYTHING - MOVE STOP LIMIT LOCK IN YOUR PROFITS -  ,1
$AAPL finally looks ready to close above 50DMA. Would be first time in 3 months.,1
"@grassosteve and @timseymour both said they bought $AAPL recently, both for a short term trade and long term investment - @CNBCFastMoney",1
"Clearly, if you aren't waking up every morning, looking in the mirror, and asking yourself ""How many shares of $AAPL can I buy today?"" you're just un-American at this point. LOL",1
$TSLA about to get into ride-sharing and autonomous driving and it's trading at 2.1x EV/Revenue with $3.7BN of cash on hand. 26% short interest; 32.7M shares,1
@elonmusk do the apples to apples test @Ford ( $F vs $TSLA battle needs to end ) wants to do y’all working with each other could change the truck business for the better,0
"$AMZN --- WE NEED YOU TO GET BACK TO $2000, WHICH YOU TRULY DESERVE!!!!!!!!!!!!!!",1
This is one reason to sell $MSFT,-1
"some say ""240=260's"" again....what say you? $TSLA",0
A new daily low at $1148.19 was just reached for $GOOGL. Found with MOMO Realtime Stock Discovery & Alerts.    #GOOGL,0
Full respect to Toni S from Bernstein.Great questions bro.$TSLA,0
Down 5 from this post $TSLA,-1
"""healthy rotation"" $FB $AAPL",0
I dunno what it is with $TSLA ( $TSLAQ imminent?) that makes people forget numbers need context. So here's some: best case estimates for Tesla 2Q19 equal 12 days of US-only Ford 1Q19 sales.,-1
$GOOGL strong bull move on 60 min chart. Nice reversal play today. Expect a big move Friday Jan12 like what $AMZN $FB $NFLX have done.,1
can you actually believe i made money on $msft and $nflx on long side lol.,1
"Weak stocks for trading on May 22, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing  $CI $MPC $SPOT $DDS $BIDU $NVDA $GRUB $LYFT $TSLA $RH",0
There is still good in this world. Thank you. $TSLA,1
Relative Performance of Strong Stocks vs $SPX Visualization of rate at which they are rising $AMZN $GOOGL $AZO $ISRG $CMG $GWW $ILMN $HUM $ANET $UNH $ANTM  $COST $BRK.B $AAPL $QQQ $SPX $IWM #success #trading #options #stock #investing,0
Is this Tesla bear getting prepare to get burn after “Legend” @MontanaSkeptic1 AKA Larry Fossi toasted. U guys did some shady sh!t behind? Why so scare? $TSLA #ChainReaction,0
Canaccord Genuity Starts Microsoft $MSFT at Hold,0
"The short/FUD war is the only reason why $TSLA is a problematic investment, in that sense fossil fuel and legacy auto makers get what they wanted I guess, but Tesla survives despite that and is on the best way to following the Amazon success story.",1
"$TWTR Periscope growing 100% per CEO, and now a drone patent. Is double bottom in on the bird? $GOOG $FB",0
$TSLA Oh the sounds of angels sing.,1
"RT @realDonaldTrump bit the hand that fed him...Consumer confidence hits 120.2 in January, vs estimate of 124.9 $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $TLRY $FB",0
Today's million dollar CALL #options trade:$AAPL $BYD $FB $GOOG $MU $NFLX $RY $WMT $X $FCX $GM ...,0
"""Isnt that cool?"" Asks ther presenter.. But, why is the $AAPL watch necessary is possess an iPhone?",0
"Tim, life savings in $TSLA at $270...do it #retirementsecured",1
$TSLA has $300 print all over it this week.,0
Reuters: Google proposes €270M-€280M payment to settle tax discord in Italy $GOOG $GOOGL,0
$AAPL That's the bottom for the week,-1
The sad thing is that US regulators @SEC_Enforcement @SEC_News @TheJusticeDept @FBI are feckless and $TSLA auditor @PwC is complicit. Musk and $TSLA can make outrageous and false claims to keep the Ponzi going and there are consequences.  Could continue going for quite some time.,-1
"$AMZN Price manipulation Analyst quietly gave low estimates so when reported it appeared blowout , but in fact it was just in line with LY",0
"I said it the other day & I'll say it again: $TSLA is now just an unprofitable car company that has to ""move iron.""",-1
Think $AAPL is running to 105-106 without a single pullback? I'd rather buy 99 area optimistic,0
CEO's going through divorce. Never good for the stock.And things aren't even ugly yet.$AMZN $WYNNAmazon CEO Jeff Bezos announces divorce from wife MacKenzie after 25 years of marriage. #Amazon #AMZN #Bezos,-1
As long as $aapl & $amzn up Btfd in $qqq & $nq,0
"Today, Elon Musk says he discovered inventory. Next week, he will say he discovered how important subsidies are to $TSLA after all.",0
You just need to close your eyes and believe. $TSLA,1
"$TSLA-bear-twit is the best twitter. Much respect to all contributors, large and small.",0
"$AMZN XLY, DIS, CMCSA, AMZN: Large Inflows Detected at ETF",0
$AMZN how’s the trade talk going to go well when. Tariff isn’t going to be removed !?!?,-1
THE CHART SHOWS NOVEMBER 1 IS THE ‘MAKE OR BREAK’ DAY FOR THIS STOCK MARKET $FB $AMZN $AAPL $FDN $NFLX $GOOG $AKAM $TWTR $AVGO $MU $SWKS $QCOM $QRVO,0
He got one thing right. Nobody gives a shit about Hannah Montana Skeptic. Not even the $TSLA shorts ,0
"$spy $dia $qqq omg, all this to lower tariff on US cars....nobody wants american car except $tsla(in China ahead) #lol Xi must be laughing.",0
$AMZN trading signals (61%/61%)Average sentiment: 0.37(439)T-0: BuyT-1: BuyT-2: BuyT-3: BuyT-4: Buy,0
$PTX next $LEI ??????? Morgan Stanley news just hit  $PTX low floater$LEI $KBIO $DDD $TSLA $TASR $SSYS $CMG $PBY $AVXL $DGAZ p,0
$TGT -20% $aapl sales could just be a tgt issue not aapl issue. need context of other competitor slices too.,-1
Maybe--just maybe--iOS 9.3 complaints were blown out of proportion.$AAPL,0
"APPLE MANUFACTURES ITS FIRST IPHONE IN INDIA, INDIA'S IT MINISTER ANNOUCES",1
"Let's be honest Icahn is the greatest investor ever, he loaded up on $AAPL, Apple at the bottom where Buffett loaded up on $IBM at the top",0
"@kiwitrader24 Now the daily buy $AAPL news. It will be dark 2nite, one ANALyst says buy aapl.",-1
$AAPL trades at just 9 times free cash flow.,0
A new daily high at $360.98 was just reached for $TSLA. Found with MOMO Realtime Stock Discovery & Alerts.    #TSLA,1
via SwatOptions: $AMZN Mr.B  $amzn,0
Big ER’s again this week $AAPL $AMD $GE $SQ $SPOT $GOOGL $CVS $SHOP $MA $QCOM $MCD $TWLO and more,0
@jimcramer I'm impressed $AAPL free cash flow of over $50 billion! $AAPL is a stock to own!,1
"@elonmusk just letting you know $TSLAQ is here for you bro, just have to reach out $TSLA",0
Millineals havnt got out of first class yet to check their student loan money they put in $tsla .or $qqq..lol ..,0
$AAPL $GOOG $GOOGL Apple Inc. and Google Inc Software Assist Terrorists: DA REPORT (AAPL) (GOOG),-1
Thought experiment: imagine what a different place $TSLA would be had it been run by Herb Kelleher instead of Elon Musk. Attached excerpt from @washingtonpost's obituary.,0
Congrats to all $TSLA holders except the Pedo’s and shorts.,1
heads up $AAPL !,1
$aapl #aaple215 sounds like a reasonable top here based on 0.786 retracement from the 140s low,0
"By the way, the risk to $TSLA is severely to the DOWNSIDE.  Among the 420, SCTY and ""Model 3 guidance"" lawsuits there could easily be $1B of settlements, wiping out any FCF for both 2019 and 2020. And myriad other potential suits (Autopilot, for one) and recalls would worsen that",1
What's that kind of argument???Porsche built their first electric car in 1898. How many decades is THAT until Elon came along???  $TSLA,0
Headlines that $AAPL is gonna give back “$300-$400 billion” over the next 3 years. They’d need to go into “actual” debt to do so and I’m not sure they like that idea.,0
4 weeks? Lucky.#model3refund  $tsla,0
$AMZN potential daily body bullish engulfing if close here or higher.,1
Musk needs to put out an 8k so we can stop this capitulation madness! @elonmusk $TSLA,-1
Improved zipper merging now in AP as of @tesla v10. $tsla #tsla,0
Maybe if $SHLD moved their Sears Auto Center Service folks to Sales (inverse $TSLA) they would be able to avoid Bankruptcy. (Spoiler: Not a chance!),-1
$aapl back in 60 min BB,1
"If your product fails, just file a patent so next time u can say its on purpose. Id prefer a phone that bounces $AAPL",0
"China, in response to Trump’s escalation of the trade war, said it would consider taking direct action against US corporations doing business in China.  $AAPL $GM",0
Elon should use a custom Twitter app that automatically filters tweets containing numeric characters. filtered tweets are redirected to his lawyers and only gets posted upon approval by  $TSLA board. make it happen @BoredElonMusk ,0
I will frame if Tesla puts Musk tweet in 8-K. Testament to lack of oversight! $TSLA,0
The evidence of $TSLA 's transformation from Blue Chip Growth to Science Opportunity,0
Can $TSLA go under? We think so PT=$135 50% d/sideBroken firm; hanging on IRRESPONSIBLE MGMT HYPEScale competitors coming: 150 cheaper&better models$VOW $BMW $DAI $FCAU $GM $F Japan ChinaMost Analyst turned to our view Cowen$200 JPM$180 GS$195 BAML$180Funding will stop!,-1
#MediaMergers #Cable companies & #Streaming. #China investing in studios. Content firms begging to partner with $AAPL. $DIS successful #2017,0
$TSLA continuation but finding some rejection at DTL,0
$AMD officially denies $TSLA rumors... down she goes,-1
"If Google earnings are really good, it could wind up as the world's most valuable company. Current market caps:$MSFT: $809.2B $AAPL: $808.3B$AMZN: $798.7B$GOOGL: $788.1B",1
10.22.19 Elliott Wave Updates For FANG: $NFLX $GOOGL AMZN FB,0
"Today in 1984, Apple $AAPL started selling the Macintosh personal computer in the US",0
"> we've got $SPY b/o into r/g (where it will pause), $TSLA $GOOGL $AMZN r/g",0
"Take this and apply it across an the entire tech sector, including $INTC (31X) $CSCO (32X) $MSFT (35X) etc.That was the 90's. $ZM",0
@markbspiegel Holy Muskoil Mark! Did $tsla sales in Europe drop 48% year over year? The Germans just getting started eating Tesla's lunch,-1
$TSLA .. remember the DeLorean and the Edsel?,0
"In a very rare twist of events, I'm currently only long stocks - $AMZN and $GE. Feels weird.",1
$AAPL Great Dividend Stock Again,1
$AAPL Hung in there to close out the week.  We'll see what happens from here. Like the risk reward of long w tight stop,0
Be careful with that.  If their inventory jumps dramatically peeps will say they built like $aapl.  #ainteasy,0
$AAPL and $FB aren't even under their respective 21dma...,0
$MSFT $CDNS deal?,0
Top Watchers —>> $NFLX $BA $TSLA $MA $AMZN $GS,0
"#ApplePay or Apple No-Way? We're talking all things Apple, next! $AAPL",0
David Einhorn's Greenlight Capital:New: $KORS $SDRL $SHW $TSCORaised: $ADNT $IACSell: $AAPL $AZO $BBY $DG $DSW $GPS $MU $MYL $TJX $TWTR,0
 are insurance rates for $TSLA Drivers rising with these crazy MVA reports?,0
"$TSLA +20%, $ORLY +13%, $VC +4.8%, $F -3.5% in busy morning for auto earnings:#Tesla rises after surprise profit; #Ford lower after beating top and bottom line estimates but cutting outlook; O'Reilly posts best comp sales since 2016; and Visteon beats estimates",0
I'm still not convinced they can raise $TSLA $TSLAQ,-1
3 Retailers Hoping to Copy the Success of Amazon Prime @themotleyfool #stocks $AMZN $BBBY $RH $LULU,0
BREAKING: $TSLA TO LAUNCH SMART PARKING,1
"RT $TSLA Algos BROKE 228 LEVEL in SIGMA-X, CROSSFINDER, ATS, LX @ 11:51 P/T 215.00 $GOOG $TWTR $BIDU $GPRO $NFLX  $AAPL $FB $QQQ #HFT #Quant",0
"Game theorists end up in the same place through a slightly different lens. Remember the $tsla long investment Narrative=A+B, where A and B are two belief heuristics that are inextricably linked to one another. Damage one, and the Narrative collapses. They are: 2/",0
Is there any recourse for those of us who have had our #Iphone killed by the #iOS9fail #IOS update? Pittchfork mob to $AAPL in Cupertino?,-1
"$AAPL starting to perform, but futures still can't bounce.",0
The moment institutions realize they've been had. Still waiting for a real puke.Keep pumping @elonmusk.$TSLA,1
"my earnings thoughts:$MSFT makes wheelbarrows full of $$$NOW eps don't matter, hired terrible CEO #idiots #avoid$XLNX going nowhere...fast$PYPL surprise beat, longs will take it$TSLA don't matter what they report, ELON still crazy",0
"OCEE News @ .08 currently>>>>>>Nevis Capital Corporation Announces Arbit Media ProgressMay 16, 2016O  $AMZN $OCEE",0
$TSLAHEY EVERYBODY!!I HAVE A SCOOP COMING UP!Stay tuned!,0
And that lawsuit is still ongoing. I don't see how it is possible for Musk and $TSLA to win that one,-1
Dear #stElon fans the competition has already arrived in EV and they don’t make their cars in tents $TSLA,0
It would probably be good for $TSLA. It depends on the final version of the text and whether it will make it through the rest of the process.,1
"$tsla bearish engulfing candle on the chart, test $263-264 area this week",-1
$TSLA Ross Gerber says a Tesla is the iphone of cars. They do have one thing in common.... they both catch on fire.,-1
$TSLA was the Bamboozle of the Day. I wanted in @293 around 10:50... it's 299 NowSomehow i saw $MSFT juicier LOL.,1
long $JRJC swing trade not my kind of play but with China's getting bigger and bigger this former runner can run any time soon $AAPL $FB,0
The #programmer community knows these $TSLA cars are dangerous as they come.Get them under heavy #regulations now or get them off the road!,-1
"#ElonMusk's #Tesla $TSLAQ $TSLA #Bailout error #Buyout of #SolarCity Is Not Looking Good. In Fact, It Looks Horrible.  @NYGovCuomo Gave Tesla $750 million in subsidies on #Musk's Guarantee to employ 1,000's & invest billions into Gigafactory 2 in Buffalo -WHICH NEVER HAPPENED!",-1
fair enough .. $AAPL and $CSCO are gonna have something to say about that though,0
$AMZN $GOOGL and $NFLX consolidating nicely ..as does $FB,0
$TSLA Watchout for $310 break!,1
$AAPL is cheap buy easy $200,1
"Sign me up! ""Tesla Motors Inc Model S Offered For Free To Buyers of New Condo"" $TSLA",0
Oh cats eyes. Watch out shorties. $TSLA,0
Quick 2pts on $NFLX early on & then re-entered later in anticipation of the $310 break. Huge seller there so I took it off and said I’d put it back on if they took him out. Ran 2pts in a blink after the break & I never put it back on. $AMZN 9pts and it could have been much more.,0
The lead up to this weird crash video $tsla,0
"Thread. Let them short. I'll be buying while they're selling. Shit, sell it to me. $tsla",1
"... on a massive scale with regard to financial reporting (this could perhaps explain Deepak's hasty exit/ Zach's promotion).Why? Because with the collapse in demand, the entire growth narrative is at risk of collapsing, too. (2/2)$TSLA $TSLAQ",-1
@DougKass both $aapl and $dis ($aapl at 114 and $dis at 114 after hours) remain extremely overbot still :-),0
did Stacey Dash really beat up her husband for buying stock in $TSLA ?If that is the case........ I call it self defense then.....,-1
OCT 9 2018 CLOSES:$SPX    2880.34   $SPY   287.40$FB   157.90$AMZN  1870.32$AAPL   226.87$NFLX   355.71$NVDA  265.54$GOOGL  1145.17 - place your bets  - thanks for playing,0
$GOOGL chart: Strongest of the #Fangs.,1
How bad is PWC - first $mat and then $tsla,0
#Iran says it will let #Google in if it accepts cultural rules - $GOOG - Jerusalem Post -hotpage.info/#95662,0
Some say layoffs = end of $MSFT's mobile dreams. What if MSFT had never been better positioned to succeed in mobile.,0
$LMRMF (cse: $LMR) support has risen on this tiny float #graphite #lithium hold. I'm long here. Next PR will be the big one imhoDO YOUR DD HERE.  #stocks $TSLA #ElectricVehicles #graphene,0
$TSLA adding another 7% through $320 ,1
 come on $tsla,0
"@elonmusk's doomsday prepper beliefs make taking $TSLA private logical, if he believes a crash is coming.  A short term loss in value at $420 per share is a win in the long term, if he believes the stock will be cut in half by a crash. Think about it...",0
"@jlraby Guidance is the reason. Though the reaction is very cruel, I agree. $AAPL",0
@stevenplace @sspencer_smb $FB looking very much like $AMZN,0
" May 187 Teslas delivered, YoY increase of 99 units2019 Jan - May: 1,2662018 Jan - May: 405+212%",1
"Participants in $TSLA's Potemkin Model 3 ""launch"" have to sign this form:",0
"Please $TSLA fans read this. This explains in part why $TSLAQ exist. Many of us have neither anything against BEVs nor against Tesla. It's all about Elon Musk and the things he does 'every' day,",0
"RT $FB HFT Algos triggered BUY in SIGMA-X, CROSSFINDER, ATS, LX @ 08:06. P/T 102.00 #Quant $MSFT $TWTR $GOOG $AMZN $AAPL $NFLX $TSLA $QQQ",0
"It's not 2015 anymore: Under Armour, Netflix, Tesla continue to slide $UA $TSLA $NFLX",0
"Please no one read about the massive, incontrovertible evidence of $tsla solar fraud dumped on Friday evening.There’s definitely nothing to see there, and all that illicit, fraudy behavior was totally confined to that specific period,",0
$TSLANot a bad Idea here  @elonmusk,0
"I have the best body. Believe me, tremendous bodyMy muscles are so big, u wont believe it $tsla $tslaq",0
Ive had @CNBC on for 30 minutes. Fifth mention of $AAPL. Its annoying. No $XOM? Why not get an analyst for $EA to discuss gaming?,0
Wow $tsla ugly af. Not worth carrying positions overnight if you are a trader,-1
"$AAPL is full of lies... Tariffs has nothing to do with iPhone sales dropping in China. There are no price increases on Apple phones due to tariffs. If anything, it's a blowback against American companies due to TrumpApple demand is dropping everywhere, and that is the reality",-1
Likely another case of #STS (Sold Too Soon) but closed $AAPL and $ABBV call positions this AM for nice winners. Avoiding EPS reports.,1
Amazing. Apple Store in Miami on a random MONDAY night at 8:30!?   Place is packed. $AAPL,0
What's to stop $aapl from building out it's own production studio for content Apple TV - likely they could acquire some top hollywood talent,0
$GPRO always cranks on red days. $LNKD and $AMZN puts in play.,0
Saboteurs in the paint department as well? They are everywhere.It’s a vast conspiracy against $TSLA  /s,0
#ExplainBABYCharts #FraudWatch day 310These #BABYcharts screenshots without further comment is enough for today. $TSLA $TSLAQ ,0
"$AMZN 190222C1630 - Filled at $3.60 on 02/21/19, 10:25 AM  ET",0
"My math:$15 D+/ESPN/HuluAd $DIS$17 WarnerMedia HBO+Cinemax $T$10 monthly Prime cost $AMZN$13 $NFLX=$55/mo incl. Amazon Music, Prime Reading, shipping benefits.That's a better bundle offering a ton(dle).Losers: Comcast, Fox, Viacom, NFL (CBS & NBC weakened).",0
. @smartertrader a $GOOGL opening at 526+ would be quite nice... not sure where it could get to tmrrw thou,1
Small account trading results - Friday - $AAPL $BIDU $FB $IWM $PCLN,0
"If your a supplier, you see sales hitting a wall, have seen this song and dance before and see a fresh $2bn - you are asking for your money. $tsla $tslaq",1
Last week I attended internet marketing conference where experts are confused & disappointed in $GOOG search results. On the average. 5% of clicks are paid searches and 35% of searches end up with no clicks whatsover! Spend your #ad money wisely.,-1
"What many people do not understand is that most of the world's  EV sales are regulation-driven. $tsla is kept afloat by green credits. This is not sustainable, and it collapses the minute credits are withdrawn",1
Did anybody expierenced Something simmiliar? #tesla $tsla $tslaq,0
@businessinsider can $AAPL work on making the screens not shatter when you drop the phone?,0
"Just the start, +12 since the post and looking for more $AMZN",1
No similar manic increase for $TSLA yet. Chart looks like we are in the 92-99 region of Enron but you never know...,0
.@timbeejones $AMZN doesn't need Uber. Same day already exists. It's a life hack. Customer rubber cement.,0
